"Date","Price","Open","High","Low","Change %"
"Jul 19","1,413.55","1,392.83","1,452.96","1,381.84","0.32%"
"Jun 19","1,409.10","1,307.40","1,438.99","1,306.62","7.96%"
"May 19","1,305.25","1,283.59","1,307.11","1,266.18","1.71%"
"Apr 19","1,283.35","1,291.48","1,310.96","1,266.25","-0.66%"
"Mar 19","1,291.90","1,312.94","1,324.57","1,281.10","-1.58%"
"Feb 19","1,312.66","1,320.93","1,347.11","1,302.53","-0.60%"
"Jan 19","1,320.56","1,282.78","1,326.65","1,276.58","2.95%"
"Dec 18","1,282.73","1,223.19","1,284.34","1,221.22","4.98%"
"Nov 18","1,221.88","1,215.24","1,237.74","1,196.19","0.64%"
"Oct 18","1,214.14","1,192.19","1,243.63","1,183.24","1.88%"
"Sep 18","1,191.69","1,200.29","1,212.90","1,180.68","-0.75%"
"Aug 18","1,200.71","1,223.97","1,225.10","1,160.19","-1.86%"
"Jul 18","1,223.41","1,253.49","1,266.26","1,211.48","-2.30%"
"Jun 18","1,252.25","1,298.79","1,309.64","1,245.67","-3.52%"
"May 18","1,297.92","1,315.40","1,326.17","1,282.00","-1.30%"
"Apr 18","1,314.95","1,326.21","1,365.37","1,310.29","-0.68%"
"Mar 18","1,324.00","1,318.22","1,356.87","1,302.76","0.48%"
"Feb 18","1,317.66","1,345.08","1,361.97","1,306.99","-2.01%"
"Jan 18","1,344.70","1,302.62","1,366.26","1,302.60","3.24%"
"Dec 17","1,302.45","1,274.59","1,307.97","1,236.27","2.20%"
"Nov 17","1,274.36","1,270.94","1,299.44","1,265.49","0.25%"
"Oct 17","1,271.20","1,279.20","1,306.46","1,260.51","-0.62%"
"Sep 17","1,279.10","1,322.03","1,357.74","1,277.60","-3.22%"
"Aug 17","1,321.60","1,269.05","1,326.19","1,251.36","4.14%"
"Jul 17","1,269.05","1,241.76","1,271.29","1,204.73","2.24%"
"Jun 17","1,241.20","1,268.90","1,296.26","1,236.78","-2.12%"
"May 17","1,268.09","1,268.50","1,274.30","1,214.18","0.03%"
"Apr 17","1,267.65","1,248.30","1,295.66","1,243.69","1.52%"
"Mar 17","1,248.63","1,248.57","1,261.41","1,194.89","0.01%"
"Feb 17","1,248.52","1,210.60","1,264.18","1,198.04","3.14%"
"Jan 17","1,210.51","1,151.09","1,220.21","1,145.99","5.13%"
"Dec 16","1,151.46","1,173.01","1,188.09","1,122.69","-1.81%"
"Nov 16","1,172.70","1,276.90","1,337.85","1,170.72","-8.19%"
"Oct 16","1,277.28","1,317.83","1,319.93","1,241.46","-2.93%"
"Sep 16","1,315.80","1,309.35","1,353.03","1,302.33","0.56%"
"Aug 16","1,308.45","1,349.97","1,367.69","1,305.02","-3.12%"
"Jul 16","1,350.59","1,323.40","1,375.30","1,310.80","2.18%"
"Jun 16","1,321.78","1,215.85","1,358.47","1,206.02","8.82%"
"May 16","1,214.69","1,293.69","1,303.97","1,199.88","-6.08%"
"Apr 16","1,293.36","1,232.70","1,296.58","1,209.00","4.98%"
"Mar 16","1,231.95","1,238.19","1,282.90","1,208.55","-0.47%"
"Feb 16","1,237.76","1,117.85","1,261.17","1,116.24","10.75%"
"Jan 16","1,117.64","1,061.09","1,128.30","1,060.74","5.35%"
"Dec 15","1,060.91","1,064.55","1,089.13","1,046.22","-0.29%"
"Nov 15","1,064.02","1,141.74","1,143.10","1,052.84","-6.83%"
"Oct 15","1,142.00","1,115.15","1,191.11","1,104.72","2.46%"
"Sep 15","1,114.60","1,134.99","1,156.74","1,098.75","-1.72%"
"Aug 15","1,134.10","1,095.24","1,168.72","1,081.00","3.53%"
"Jul 15","1,095.40","1,173.10","1,175.43","1,077.45","-6.55%"
"Jun 15","1,172.20","1,190.90","1,205.88","1,162.84","-1.48%"
"May 15","1,189.75","1,184.55","1,232.60","1,170.64","0.50%"
"Apr 15","1,183.85","1,183.75","1,224.52","1,175.26","0.06%"
"Mar 15","1,183.10","1,213.90","1,223.60","1,143.18","-2.43%"
"Feb 15","1,212.55","1,281.44","1,285.67","1,191.16","-5.48%"
"Jan 15","1,282.80","1,183.88","1,306.50","1,168.75","8.39%"
"Dec 14","1,183.55","1,166.90","1,238.48","1,143.16","1.41%"
"Nov 14","1,167.04","1,173.60","1,207.94","1,132.13","-0.59%"
"Oct 14","1,173.92","1,209.24","1,255.43","1,161.53","-2.88%"
